Index Matrix Swap,Direct Memory Swap,,
0.465393,0.39808,,
0.479467,0.409874,,
0.486335,0.397675,,
0.489163,0.401437,,
0.48881,0.417853,,
0.472744,0.38925,,
0.468758,0.398306,,
0.458641,0.408471,,
0.4638,0.398922,,
0.49737,0.402228,,
0.470581,0.41583,,
0.513065,0.432921,,
0.503918,0.440954,,
0.486043,0.42222,,
0.487763,0.42822,,
0.505143,0.410427,,
0.461495,0.398878,,
0.498002,0.393767,,
0.485445,0.407624,,
0.458842,0.408648,,
0.520006,0.412985,,
0.506459,0.416512,,
0.505822,0.414616,,
0.485306,0.399142,,
0.466426,0.404822,,
0.486275,0.391842,,
0.468371,0.395447,,
0.521417,0.396703,,
0.493977,0.400066,,
0.4905,0.393236,,
0.471453,0.3906,,
0.46713,0.413492,,
0.471649,0.394548,,
0.480403,0.389996,,
0.464985,0.402016,,
0.476515,0.399035,,
0.479973,0.395562,,
0.474784,0.395035,,
0.475219,0.3947,,
0.493343,0.39637,,
0.476483,0.391005,,
0.485957,0.42292,,
0.480881,0.407674,,
0.491044,0.417074,,
0.480773,0.416038,,
0.475275,0.402714,,
0.473485,0.400887,,
0.491591,0.401224,,
0.486183,0.403642,,
0.47059,0.39882,,
0.488406,0.412187,,
0.471833,0.386081,,
0.479238,0.389792,,
0.465009,0.394974,,
0.495066,0.403014,,
0.473605,0.404786,,
0.469725,0.398898,,
0.497617,0.403845,,
0.498333,0.399464,,
0.482959,0.391178,,
0.475212,0.396967,,
0.484087,0.403048,,
0.484244,0.39921,,
0.490203,0.407187,,
0.461859,0.399229,,
0.536665,0.427589,,
0.513515,0.406575,,
0.501664,0.407399,,
0.621755,0.410368,,
0.547016,0.417873,,
0.497042,0.409008,,
0.484314,0.394009,,
0.486143,0.396984,,
0.481878,0.42273,,
0.487558,0.392298,,
0.477737,0.400365,,
